User Location, Question-ID(s)
England,189
WA,2225-6528
United States,2487-49-4747-4324-4333-4766-8027-8178-8837-10686-10784-12548
Europe,762-331
UK,8569
Australia,75-2420-6749
Hungary,71
India,2275-12462-7532-8570-8418-8049-7484-12372
Sweden,3020
Germany,277-6547-5432-10699-13366
France,316-834
Poland,4315
USA,10414-10405
Thailand,608
Netherlands,609-4326-9347
IL,2379
NGC 6611,6750
Uruguay,915
Madrid,6728
Washington,13341
The Netherlands,9607
Hyderabad,2137
Chicago,2236
127.0.0.1,2425
Probably not that infinite plane of uniform density you physicists go on about.,2378
British Columbia,4209
Canada,2455-6754-12848
TX,5282
Sandy Eggo,3018
A small planet somewhere in the vicinity of Betelgeuse,6724
MI,5055
Southern Hemisphere,4466
Portugal,6536
Latvija,4491
Peru,8780
NY,8160
Connecticut,4836
CA,4640
Dallas Tx,4888
California,5071
Scandinavia,10836
New Zealand,5189
Brazil,5333
picturanosaurus land fr,13390
Flanders,5421
Florida,5459
or at work anywhere in the world,9393
United Kingdom,6766-10325
Egypt,7006
VT,13531
Missouri,7253
London,7355
Ecuador,9580
Earth,12273
Norway,8209
San Francisco,8215
Colombo,8332
DC,9222
Italy,9540
Chennai,9810
TW,9977
GA,10021
Russia,12030
South Africa,13478
