User Location, Question-ID(s)
Reading- England,189
Seattle- WA,2225-6528
United States,2487-4324-8178-10784
Europe,762-331
Playa del Rey- Los Angeles- CA- United States,49
UK,8569
New York- NY- United States,4747-8027
Australia,75-2420
Pécs- Hungary,71
India,2275-8418-8049
Stockholm- Sweden,3020
Berlin- Germany,277-5432
Prague- Czech Republic; Paris- France,316
Szczecin- Poland,4315
Massachusetts- USA,10414
Thailand,608
Netherlands,609-4326
Urbana- IL,2379
The Pillars of Creation- NGC 6611,6750
Germany,6547
Strasbourg- France,834
Uruguay,915
Madrid,6728
Delhi- India,12462
Washington,13341
Alphen aan Den Rijn- The Netherlands,9607
Hyderabad,2137
Chicago,2236
127.0.0.1,2425
Canberra- Australia,6749
Nagpur- India,7532
Probably not that infinite plane of uniform density you physicists go on about.,2378
British Columbia,4209
Peterborough- Canada,2455
Earth- TX,5282
Sandy Eggo,3018
A small planet somewhere in the vicinity of Betelgeuse,6724
Ann Arbor- MI,5055
Southern Hemisphere,4466
St. Petersburg- Florida- United States,4333
Lisbon- Portugal,6536
Lima District- Lima Region- Peru,8780
Syracuse- NY,8160
Connecticut,4836
Bay Area- CA,4640
Noida- India,8570
Arizona- United States,4766
Dallas Tx,4888
California,5071
Scandinavia,10836
Monterey- CA- USA,10405
Hawkes Bay- New Zealand,5189
Campina Grande- Brazil,5333
picturanosaurus land fr,13390
Flanders,5421
Florida,5459
Adelaide- South Australia- or at work anywhere in the world,9393
Canada,6754
London- United Kingdom,6766
Al Jizah- Egypt,7006
Burlington- VT,13531
Missouri,7253
London,7355
Nagpur- Maharashtra- India,7484
Quito- Ecuador,9580
Taipei- Earth,12273
Norway,8209
San Francisco,8215
Colombo,8332
DC,9222
San Francisco Bay Area- CA- United States,8837
Breda- Netherlands,9347
Milan- Italy,9540
Chennai,9810
Green Island- TW,9977
Atlanta- GA,10021
Cambridge- United Kingdom,10325
Illinois- United States,10686
Bavaria- Germany,10699
Moscow- Russia,12030
Tamil Nadu- India,12372
Laramie- WY- United States,12548
British Columbia- Canada,12848
Munich- Germany,13366
South Africa,13478
